Issue ID,Integration,Taxonomy,Root Cause,Fix,Impact,Trigger,,,
35958,nello,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
35957,ozw, Execution,Incorrect execution status update, ,Unexpected device behavior,Invoke device service,,,
35935,velux,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
35904,onvif,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
35891,hunter_douglas_powerview,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35874,roku, Error handling,Incorrect response handling,, ,Invoke device service,,,
35861, prezzibenzina,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
35858,mqtt, Others,Asynchronous error,Waiting for synchronization., ,Loading device integration,,,
35844,home_connect, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35843,IPP, Error handling,Insufficient error handling,, ,Invoke device service,,,
35820,ikea,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
35779,denonavr, Error handling,Incorrect response handling,, ,Invoke device service,,,
35764,synology,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
35740,sonos,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35666,nws, Others,Resource constraint,,Device unavailable,Frequent requests,,,
35657,wiffi, Error handling,Insufficient error handling,Add retry & timeout setting., ,Network delay,,,
35601,zwave, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
35573,plugwise, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35536,point, Others,Resource constraint,,Device unavailable,Frequent requests,,,
35508,unifi, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35457,synology, Others,Corner case,,Incorrect device state,Invoke device service,,,
35441,roomba, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Unexpected device behavior,Invoke device service,,,
35416,xbox_live, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35407,roomba,Initialization,Incorrect authentication establishment,Correct authentication logic.,Device unavailable,Loading device integration,,,
35378,plex,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
35327,supla, Others,Resource constraint,,Device unavailable,Frequent requests,,,
35286,homematic,Device,Device failure,Use new device instead,Device unavailable,Invoke device service,,,
35270,homematic,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35262,SMS,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Slow response,Invoke device service,,,
35257,myq, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35254,upnp, Execution,Inappropriate polling interval,Adjust the polling interval.,Device unavailable,Frequent requests,,,
35187,unifi, Error handling,Incorrect error handling,,Device unavailable,Network interruption and recovery,,,
35178,ping,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Slow response,Invoke device service,,,
35165,uvc,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
35163,life360,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
35126,braviatv,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35120,roomba, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
35113,openhardwaremonitor, Error handling,Incorrect response handling,, ,Invoke device service,,,
35061,enphase,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
35034,Zabbix , Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
35014,unifi,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35013,yeelight,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
35006,canary,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,  ,,,,,,
,,,,,,,,,
,,,,,,,,,
